Timestamp,Usuario,Nome_Arquivo,Classe_Alvo_Humana,Classe_Predita_IA,Confianca_IA,Entropia_Incerteza,Motivo_Falha,Energia_Sinal_RMS
2026-07-02 19:46:41,pablo,USER_pablo_ALVO_siga_PREDITO_voltar_CONF_90_1783032401.wav,siga,voltar,90.91%,0.6087,Erro de Classificacao,0.01598
2026-07-02 19:47:30,pablo,USER_pablo_ALVO_siga_PREDITO_voltar_CONF_54_1783032450.wav,siga,voltar,54.27%,1.8070,Erro de Classificacao,0.00719
2026-07-02 19:52:26,pablo,USER_pablo_ALVO_siga_PREDITO_voltar_CONF_63_1783032746.wav,siga,voltar,63.25%,1.6571,Erro de Classificacao,0.01235
2026-07-02 19:54:46,pablo,USER_pablo_ALVO_siga_PREDITO_siga_CONF_49_1783032886.wav,siga,siga,49.02%,1.7335,Baixa Confianca (<75%),0.06403
2026-07-02 19:55:10,pablo,USER_pablo_ALVO_siga_PREDITO_siga_CONF_70_1783032910.wav,siga,siga,70.02%,1.3658,Baixa Confianca (<75%),0.03973
2026-07-02 19:55:19,pablo,USER_pablo_ALVO_siga_PREDITO_voltar_CONF_54_1783032919.wav,siga,voltar,54.88%,1.7833,Erro de Classificacao,0.12900
2026-07-02 19:55:35,pablo,USER_pablo_ALVO_siga_PREDITO_voltar_CONF_37_1783032935.wav,siga,voltar,37.48%,1.9752,Erro de Classificacao,0.02780
2026-07-02 19:56:17,pablo,USER_pablo_ALVO_siga_PREDITO_voltar_CONF_49_1783032977.wav,siga,voltar,49.59%,1.9535,Erro de Classificacao,0.06351
2026-07-02 19:56:38,pablo,USER_pablo_ALVO_siga_PREDITO_pare_CONF_62_1783032998.wav,siga,pare,62.11%,1.5949,Erro de Classificacao,0.06501
2026-07-02 19:57:44,pablo,USER_pablo_ALVO_siga_PREDITO_voltar_CONF_67_1783033064.wav,siga,voltar,67.33%,1.5163,Erro de Classificacao,0.04007
2026-07-02 19:58:08,pablo,USER_pablo_ALVO_siga_PREDITO_direita_CONF_63_1783033088.wav,siga,direita,63.76%,1.5954,Erro de Classificacao,0.04353
2026-07-02 19:58:20,pablo,USER_pablo_ALVO_siga_PREDITO_esquerda_CONF_87_1783033100.wav,siga,esquerda,87.81%,0.7089,Erro de Classificacao,0.00088
2026-07-02 19:58:53,pablo,USER_pablo_ALVO_siga_PREDITO_esquerda_CONF_69_1783033133.wav,siga,esquerda,69.64%,1.2986,Erro de Classificacao,0.08018
2026-07-02 20:00:00,pablo,USER_pablo_ALVO_direita_PREDITO_pare_CONF_88_1783033200.wav,direita,pare,88.36%,0.7261,Erro de Classificacao,0.03036
