Cenario,Classe,Status_Predicao,Media_Pesos,Mediana_Pesos,Desvio_Padrao_Pesos
limpo,direita,Incorreto,0.0026666666,0.0014380704,0.0023932047
limpo,esquerda,Incorreto,0.0026666666,0.0014788517,0.0024550867
limpo,siga,Correto,0.0026666666,0.0016553407,0.0022601103
limpo,siga,Incorreto,0.0026666666,0.001368282,0.0027738244
limpo,pare,Incorreto,0.0026666666,0.0017705027,0.002308472
limpo,voltar,Correto,0.0026666666,0.0015277144,0.0026946275
limpo,voltar,Incorreto,0.0026666666,0.0014305986,0.0026205787
ruido_gaussiano,direita,Incorreto,0.0026666664,0.0014380999,0.0023955808
ruido_gaussiano,esquerda,Incorreto,0.0026666666,0.0014838023,0.0024757409
ruido_gaussiano,siga,Correto,0.0026666666,0.0016426279,0.0022612002
ruido_gaussiano,siga,Incorreto,0.0026666666,0.0013666147,0.0027883907
ruido_gaussiano,pare,Incorreto,0.0026666666,0.0018201064,0.0022159643
ruido_gaussiano,voltar,Correto,0.0026666666,0.0015203283,0.0026668624
ruido_gaussiano,voltar,Incorreto,0.0026666666,0.0011427455,0.0025503167
ruido_rosa,direita,Incorreto,0.0026666666,0.0014162668,0.0023847967
ruido_rosa,esquerda,Incorreto,0.0026666666,0.00144393,0.0024762703
ruido_rosa,siga,Correto,0.0026666666,0.0016563853,0.0022760532
ruido_rosa,siga,Incorreto,0.0026666666,0.0013627945,0.0027925211
ruido_rosa,pare,Incorreto,0.0026666666,0.0017611927,0.0023875188
ruido_rosa,voltar,Correto,0.0026666666,0.0015174188,0.002673496
ruido_rosa,voltar,Incorreto,0.0026666666,0.0014021582,0.0026589723
cortes_audio,direita,Incorreto,0.0026666666,0.0016134818,0.0022837205
cortes_audio,esquerda,Incorreto,0.0026666666,0.0015555541,0.0024811723
cortes_audio,siga,Correto,0.0026666666,0.0018854175,0.0019047101
cortes_audio,siga,Incorreto,0.0026666666,0.0014105425,0.0027619207
cortes_audio,pare,Incorreto,0.0026666666,0.001882931,0.0022408545
cortes_audio,voltar,Correto,0.0026666666,0.0015929262,0.002652933
cortes_audio,voltar,Incorreto,0.0026666666,0.0014978047,0.0026331358
deslocamento_temporal,direita,Incorreto,0.0026666666,0.001430608,0.0023964448
deslocamento_temporal,esquerda,Incorreto,0.0026666666,0.0014961443,0.0024488794
deslocamento_temporal,siga,Correto,0.0026666666,0.0019143269,0.0019829127
deslocamento_temporal,siga,Incorreto,0.0026666666,0.0013897999,0.0027689661
deslocamento_temporal,pare,Incorreto,0.0026666666,0.0017724654,0.0022730657
deslocamento_temporal,voltar,Correto,0.0026666666,0.0015105664,0.0026985675
deslocamento_temporal,voltar,Incorreto,0.0026666666,0.0014610762,0.002609631
